ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment
PWai_stem_131_1,PWai_stem_131,be_1,1,a h -
mak_stem_132_1,mak_stem_132,be_2,1,e - i
PWai_stem_133_1,PWai_stem_133,say,1,k a s - -
PWai_stem_134_1,PWai_stem_134,go,1,ɨ t o m -
PWai_stem_135_1,PWai_stem_135,DETRZ1,1,ee - -
PWai_stem_135_2,PWai_stem_135,bathe_1,2,- ɸ ɨ
PPek_stem_136_1,PPek_stem_136,DETRZ,1,ə d
PPek_stem_136_2,PPek_stem_136,come,2,- - e p ɨ
PPek_stem_137_1,PPek_stem_137,come,1,- - e p ɨ
PPek_stem_138_1,PPek_stem_138,go,1,ɨ t ə n -
PPek_stem_139_1,PPek_stem_139,say,1,k e - - -
PPek_stem_140_1,PPek_stem_140,DETRZ1,1,i - -
PPek_stem_140_2,PPek_stem_140,bathe_1,2,- p ɨ
PTir_stem_141_1,PTir_stem_141,DETRZ,1,ə ʔ
PTir_stem_141_2,PTir_stem_141,come,2,- - e p ɨ
PTir_stem_142_1,PTir_stem_142,go,1,ə t ə m ɨ
PTir_stem_143_1,PTir_stem_143,say,1,k a - - -
PTir_stem_144_1,PTir_stem_144,DETRZ1,1,e - -
PTir_stem_144_2,PTir_stem_144,bathe_1,2,- p ɨ
aku_stem_145_1,aku_stem_145,DETRZ1,1,e - -
aku_stem_145_2,aku_stem_145,bathe_1,2,- p ɨ
PTir_stem_146_1,PTir_stem_146,go_down,1,- - ɨ h - t ə
PTir_stem_147_1,PTir_stem_147,DETRZ,1,əə -
PTir_stem_147_2,PTir_stem_147,sleep,2,n ɨ - k ɨ
aku_stem_148_1,aku_stem_148,DETRZ,1,əə -
aku_stem_148_2,aku_stem_148,sleep,2,n ɨ - k ɨ
tri_stem_149_1,tri_stem_149,DETRZ,1,əə -
tri_stem_149_2,tri_stem_149,sleep,2,n ɨ - k ɨ
PTir_stem_150_1,PTir_stem_150,come,1,- - e p ɨ
PPek_stem_151_1,PPek_stem_151,say,1,g e - - -
uxc_stem_152_1,uxc_stem_152,come,1,- - i - -
wmr_stem_153_1,wmr_stem_153,go,1,- - ɨ ʔ -
kax_stem_154_1,kax_stem_154,DETRZ1,1,ee - -
kax_stem_154_2,kax_stem_154,bathe_1,2,- h ɨ
kax_stem_155_1,kax_stem_155,bathe_1,1,ɨ h ɨ
hix_stem_156_1,hix_stem_156,DETRZ1,1,e w e
hix_stem_156_2,hix_stem_156,bathe_1,2,- h ɨ
hix_stem_157_1,hix_stem_157,bathe_1,1,ɨ h ɨ
wai_stem_158_1,wai_stem_158,DETRZ1,1,e j e
wai_stem_158_2,wai_stem_158,bathe_1,2,- ɸ u
wai_stem_159_1,wai_stem_159,bathe_1,1,- p ɨ
ara_stem_160_1,ara_stem_160,DETRZ1,1,i - -
ara_stem_160_2,ara_stem_160,bathe_1,2,- b ɨ
ara_stem_161_1,ara_stem_161,bathe_1,1,ɨ b ɨ
ikp_stem_162_1,ikp_stem_162,DETRZ1,1,i - -
ikp_stem_162_2,ikp_stem_162,bathe_1,2,- p -
ikp_stem_163_1,ikp_stem_163,bathe_1,1,ɨ p -
bak_stem_164_1,bak_stem_164,DETRZ1,1,i - -
bak_stem_165_1,bak_stem_165,bathe_1,1,- - ɨ
tri_stem_166_1,tri_stem_166,DETRZ1,1,e - -
tri_stem_166_2,tri_stem_166,bathe_1,2,- p ɨ
tri_stem_167_1,tri_stem_167,bathe_1,1,- p ɨ
aku_stem_168_1,aku_stem_168,DETRZ1,1,e - -
aku_stem_168_2,aku_stem_168,bathe_1,2,- p ɨ
aku_stem_169_1,aku_stem_169,bathe_1,1,- p ɨ
way_stem_170_1,way_stem_170,DETRZ1,1,e - -
way_stem_170_2,way_stem_170,bathe_1,2,- p ɨ
way_stem_171_1,way_stem_171,bathe_1,1,u p ɨ
apa_stem_172_1,apa_stem_172,DETRZ1,1,e - -
apa_stem_172_2,apa_stem_172,bathe_1,2,- p ɨ
apa_stem_173_1,apa_stem_173,bathe_1,1,- p ɨ
kar_stem_174_1,kar_stem_174,DETRZ1,1,e - -
kar_stem_174_2,kar_stem_174,bathe_2,2,k u - p i
kar_stem_175_1,kar_stem_175,bathe_2,1,k u - p i
mak_stem_176_1,mak_stem_176,DETRZ1,1,e - -
mak_stem_176_2,mak_stem_176,bathe_2,2,ʔ - - h i
mak_stem_177_1,mak_stem_177,bathe_1,1,ɨ h ɨ
kap_stem_178_1,kap_stem_178,DETRZ1,1,e - -
kap_stem_178_2,kap_stem_178,bathe_2,2,k u ʔ p i
kap_stem_179_1,kap_stem_179,bathe_2,1,k u ʔ p i
pem_stem_180_1,pem_stem_180,DETRZ1,1,e - -
pem_stem_180_2,pem_stem_180,bathe_2,2,k u - p ɨ
pem_stem_181_1,pem_stem_181,bathe_1,1,- p ɨ
pan_stem_182_1,pan_stem_182,DETRZ,1,a -
pan_stem_182_2,pan_stem_182,bathe_2,2,k u - p ɨ
pan_stem_183_1,pan_stem_183,bathe_2,1,k u - p ɨ
pan_stem_184_1,pan_stem_184,bathe_1,1,ɨ p ɨ
ara_other_0_1,ara_other_0,dat_pek,1,w ɨ n a
ikp_other_1_1,ikp_other_1,dat_pek,1,- ɨ n a
ara_other_2_1,ara_other_2,dog_1,1,w o k o r i
ikp_other_3_1,ikp_other_3,dog_1,1,- a k a r i
ara_other_4_1,ara_other_4,capuchin,1,t a w e
ikp_other_5_1,ikp_other_5,capuchin,1,t a - e
ara_other_6_1,ara_other_6,sleep,1,w ɨ n k ɨ
