"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"dance",,"car",1,"j-eharaga-","1p","robayo2000avance[173]","ʤi-eharaga-ɨ",
"dance",,"car",2,"m-eharaga-","2sa","robayo2000avance[173]","mɨ-eharaga-ɨ",
"dance",,"car",3,"n-eharaga-","3sa","robayo2000avance[173]","nɨ-eharaga-ɨ",
"dance",,"car","1+2","kɨs-eharaga-","kut","robayo2000avance[173]","kɨse-eharaga-ɨ",
"see_self",,"tri",1,"t-əene-","1t","triocarlin2004[274]","t-ə-ene-∅",
"see_self",,"tri",2,"m-əene-","2sa","triocarlin2004[274]","m-əene-∅",
"see_self",,"tri",3,"n-əene-","3sa","triocarlin2004[274]","n-əene-n",
"see_self",,"tri","1+2","k-əene-","kut","triocarlin2004[274]","k-əene-∅",
"say","say","tri","IMP","ka-kə",,"triocarlin2004[412]",,
"go","go","tri","IMP","tə-kə",,"triomeira1999[246]",,
"come","DETRZ+come","tri","PTCP","tɨ-w-ə+e-se",,"triomeira1999[247]",,
"say","say","tri","PTCP","tɨɨ-ka-e",,"triomeira1999[247]",,
"bathe_intr","DETRZ1+bathe_1","tri",1,"s-e+pɨ-","1t","triomeira1999[292]","s-epï",
"bathe_intr","DETRZ1+bathe_1","tri",2,"m-e+pɨ-","2sa","triomeira1999[292]","m-epï",
"bathe_intr","DETRZ1+bathe_1","tri",3,"n-e+pɨ-","3sa","triomeira1999[292]","n-epï",
"bathe_intr","DETRZ1+bathe_1","tri","1+2","ke-e+pɨ-","kut","triomeira1999[292]","k-eepï",
"go","go","tri",1,"wɨ-tən-","1w","triomeira1999[292]","wï-tën",
"go","go","tri",2,"mɨ-tən-","2sa","triomeira1999[292]",,
"go","go","tri",3,"nɨ-tən-","3sa","triomeira1999[292]",,
"go","go","tri","1+2","kɨ-tən-","kut","triomeira1999[292]",,
"talk",,"tri",1,"t-əturu-","1t","triomeira1999[292]","t-ëturu",
"talk",,"tri",2,"m-əturu-","2sa","triomeira1999[292]","m-ëturu",
"talk",,"tri",3,"n-əturu-","3sa","triomeira1999[292]","n-ëturu",
"talk",,"tri","1+2","kɨt-əturu-","kut","triomeira1999[292]","kït-ëturu",
"yawn",,"tri",1,"s-entapo-","1t","triomeira1999[292]","s-entapo",
"yawn",,"tri",2,"m-entapo-","2sa","triomeira1999[292]","m-entapo",
"yawn",,"tri",3,"n-entapo-","3sa","triomeira1999[292]","n-entapo",
"yawn",,"tri","1+2","k-entapo-","kut","triomeira1999[292]","k-entapo",
"come","DETRZ+come","tri",1,"w-ə+epɨ-","1w","triomeira1999[294]","w-ëepï",
"come","come","tri",2,"mən-epɨ",,"triomeira1999[294]",,
"come","come","tri",3,"n-epɨ","3sa","triomeira1999[294]",,
"come","come","tri","1+2","ke-epɨ","kut","triomeira1999[294]",,
"say","say","tri",1,"wɨ-ka-","1w","triomeira1999[294]","wï-ka",
"say","say","tri",2,"mɨ-ka-","2sa","triomeira1999[294]",,
"say","say","tri",3,"n-ka-","3sa","triomeira1999[294]","n-ka-n",
"say","say","tri","1+2","kɨh-ka-","kut","triomeira1999[294]",,
"sleep","DETRZ+sleep","tri",1,"t-əə+nɨkɨ-","1t","triomeira1999[294]","t-ëënïkï",
"sleep","DETRZ+sleep","tri",2,"m-əə+nɨkɨ-","2sa","triomeira1999[294]","m-ëënïkï",
